reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info
KMIP-V2-1-OASIS,Key Management Interoperability Protocol (KMIP) Version 2.1,https://docs.oasis-open.org/kmip/kmip-spec/v2.1/os/kmip-spec-v2.1-os.html,2021-06-20,2021-06-20,OASIS Standard,"KMIP v2.1 defines a protocol for communication between key management systems and cryptographic clients. Supports key lifecycle operations (create, locate, get, activate, revoke, destroy) over TLS. Widely implemented by enterprise HSMs (Thales, Utimaco, Entrust) and KMS solutions. Enables interoperability between key management infrastructure during PQC migration.",Protocol,Government; Finance; Enterprise IT; HSM Vendors,OASIS KMIP Technical Committee,PKCS11-V3-OASIS,Global,Symmetric; Asymmetric; PQC (forthcoming),N/A,HSM and KMS key management interoperability,Thales Luna; Utimaco SecurityServer; Entrust nShield; HashiCorp Vault,High,New,Protocols,yes,public/library/KMIP-V2-1-OASIS.html,kms-pqc,
RFC 7228,Terminology for Constrained-Node Networks,https://www.rfc-editor.org/rfc/rfc7228.html,2014-05-01,2014-05-01,Informational,"Defines terminology and device classes (Class 0-2) for constrained-node IoT networks, including RAM/Flash constraints. Foundation for IoT PQC algorithm selection.",Protocol,IoT; Embedded Systems; Industrial,IETF,,International,,,IoT protocol design,IoT implementations,Low,New,General PQC Migration,yes,public/library/RFC_7228.html,iot-ot-pqc,
RFC 9019,A Firmware Update Architecture for Internet of Things (SUIT),https://www.rfc-editor.org/rfc/rfc9019.html,2021-04-01,2021-04-01,Informational,Defines the SUIT manifest format for secure firmware updates on constrained IoT devices. Specifies metadata fields used in PQC firmware signing workflows.,Protocol,IoT; Embedded Systems; Firmware,IETF SUIT,,International,Hash-based (stateful),L1-L5,Firmware update signing,Firmware implementations,Medium,New,General PQC Migration,yes,public/library/RFC_9019.html,iot-ot-pqc;stateful-signatures,
RFC 9147,The Datagram Transport Layer Security (DTLS) Protocol Version 1.3,https://www.rfc-editor.org/rfc/rfc9147.html,2022-04-01,2022-04-01,Proposed Standard,Specifies DTLS 1.3 — the UDP-based variant of TLS 1.3 used for CoAP and constrained IoT communications. Key reference for PQC handshake overhead analysis on constrained devices.,Protocol,IoT; Embedded Systems; Industrial,IETF TLS,,International,Lattice-based,L1-L5,DTLS/CoAP,wolfSSL; tinyDTLS; OpenSSL,High,New,PQC Protocol Specification,yes,public/library/RFC_9147.html,iot-ot-pqc;tls-basics,
RFC 8879,TLS Certificate Compression,https://www.rfc-editor.org/rfc/rfc8879.html,2020-11-01,2020-11-01,Proposed Standard,"Defines certificate compression for TLS 1.3, reducing PQC certificate chain overhead by ~30%. Key mitigation for certificate bloat on constrained IoT devices.",Protocol,IoT; Embedded Systems; PKI,IETF TLS,,International,Lattice-based,L1-L5,TLS/DTLS certificate handling,TLS implementations,Medium,New,PQC Protocol Specification,yes,public/library/RFC_8879.html,iot-ot-pqc;tls-basics;pki-workshop,
RFC 7250,Using Raw Public Keys in Transport Layer Security (TLS) and DTLS,https://www.rfc-editor.org/rfc/rfc7250.html,2014-06-01,2014-06-01,Proposed Standard,"Allows TLS/DTLS to use raw public keys instead of X.509 certificates, eliminating certificate chain overhead on ultra-constrained IoT devices. ~70% size reduction.",Protocol,IoT; Embedded Systems,IETF TLS,,International,,L1-L5,TLS/DTLS certificate handling,IoT TLS implementations,Medium,New,PQC Protocol Specification,yes,public/library/RFC_7250.html,iot-ot-pqc,
IEC 62443,IEC 62443: Industrial Automation and Control Systems Security,https://www.iec.ch/homepage,2010-01-01,2024-01-01,International Standard,"Multi-part standard series for OT/ICS/SCADA cybersecurity covering security levels, zones, conduits, and lifecycle requirements. Foundation for SCADA PQC migration planning.",Algorithm,Industrial; Critical Infrastructure; OT/ICS,IEC,,International,,,OT/ICS/SCADA security,OT security implementations,High,New,Government Guidance,no-forbidden,,iot-ot-pqc,
NIST SP 800-82 Rev. 3,Guide to Operational Technology (OT) Security,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-82r3.pdf,2023-09-01,2023-09-01,Final,"NIST guidance for securing industrial control systems (ICS), SCADA, DCS, and OT networks. Covers the Purdue model, network architecture, and security controls for critical infrastructure.",Algorithm,Industrial; Critical Infrastructure; Government,NIST,,US; International,,,OT/ICS/SCADA security,OT implementations,High,New,Government Guidance,yes,public/library/NIST_SP_800-82_Rev._3.pdf,iot-ot-pqc,
NSM-10,National Security Memorandum 10 — Promoting U.S. Leadership in Quantum Computing,https://bidenwhitehouse.archives.gov/briefing-room/statements-releases/2022/05/04/national-security-memorandum-on-promoting-united-states-leadership-in-quantum-computing-while-mitigating-risks-to-vulnerable-cryptographic-systems/,2022-05-04,2022-05-04,Final,US National Security Memorandum directing federal agencies to inventory cryptographic systems and transition to PQC. Established key milestones for quantum-resistant standards adoption.,Compliance/Policy,Government & Defense; Finance & Banking; Technology; Critical Infrastructure,White House,NIST IR 8545;NIST IR 8547,United States,N/A,N/A,Federal agency PQC migration,Federal systems,Critical,New,General PQC Migration,yes,public/library/NSM-10.html,compliance-strategy;migration-program;pqc-governance;pqc-risk-management,
OMB-M-23-02,OMB Memorandum M-23-02 — Migrating to Post-Quantum Cryptography,https://www.whitehouse.gov/wp-content/uploads/2022/11/M-23-02-M-Memo-on-Migrating-to-Post-Quantum-Cryptography.pdf,2022-11-18,2022-11-18,Final,OMB memo requiring federal agencies to submit cryptographic system inventories per NSM-10. Sets deadlines for PQC migration planning across US government systems.,Compliance/Policy,Government & Defense; Technology; Finance & Banking,OMB; White House,NIST IR 8545;NIST IR 8547;NSM-10,United States,N/A,N/A,US federal agency cryptographic inventory,Federal systems,Critical,New,General PQC Migration,yes,public/library/OMB-M-23-02.pdf,compliance-strategy;migration-program;pqc-governance;pqc-risk-management;data-asset-sensitivity,
QCCPA-2022,Quantum Computing Cybersecurity Preparedness Act (H.R.7535),https://www.congress.gov/bill/117th-congress/house-bill/7535,2022-12-21,2022-12-21,Enacted,US legislation requiring OMB to prioritize PQC migration across federal agencies. Established annual reporting requirements and directed NIST to maintain updated PQC guidance.,Regulation,Government & Defense,US Congress,NIST IR 8545;NIST IR 8547;NSM-10,United States,N/A,N/A,US federal PQC procurement and migration,Federal agencies,Critical,New,General PQC Migration,no-forbidden,,compliance-strategy;pqc-governance;pqc-business-case,
WH-PQC-Report-2024,White House Report on Post-Quantum Cryptography (July 2024),https://bidenwhitehouse.archives.gov/wp-content/uploads/2024/07/REF_PQC-Report_FINAL_Send.pdf,2024-07-01,2024-07-01,Final,"White House report estimating $7.1B government-wide PQC migration cost. Provides status of agency inventories, migration planning, and budget projections through 2035.",Guidance,Government & Defense; Finance & Banking; Technology,White House; ONCD,NIST IR 8545;NIST IR 8547;NSM-10;OMB-M-23-02,United States,N/A,N/A,US federal PQC migration budgeting and planning,Federal agencies,Critical,New,General PQC Migration,yes,public/library/WH-PQC-Report-2024.pdf,compliance-strategy;migration-program;pqc-governance;pqc-business-case;pqc-risk-management,
EO-14144,Executive Order 14144 — Strengthening and Promoting Innovation in the Nation's Cybersecurity,https://www.federalregister.gov/documents/2025/01/17/2025-01470/strengthening-and-promoting-innovation-in-the-nations-cybersecurity,2025-01-16,2025-01-16,Final,Biden administration executive order on cybersecurity including PQC provisions. Mandates PQC-ready systems for federal agencies and sets security standards for critical infrastructure.,Regulation,Government & Defense; Technology; Critical Infrastructure,White House,EO-14306;NIST IR 8545;NIST IR 8547;NSM-10,United States,N/A,N/A,US federal cybersecurity policy including PQC mandates,Federal systems,Critical,New,General PQC Migration,yes,public/library/EO-14144.html,compliance-strategy;pqc-governance;pqc-risk-management;migration-program,
BIS-Paper-158,BIS Paper 158 — Quantum-Readiness Roadmap for Financial Systems,https://www.bis.org/publ/bppdf/bispap158.htm,2025-01-01,2025-01-01,Published,"Bank for International Settlements paper outlining quantum-readiness roadmap for global financial systems. Covers cryptographic inventory, migration timelines, and cross-border interoperability for central banks.",Guidance,Finance & Banking; Government & Defense,BIS; Bank for International Settlements,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Global,N/A,N/A,Financial sector PQC migration and interoperability,Central banks; financial institutions,High,New,General PQC Migration,yes,public/library/BIS-Paper-158.html,compliance-strategy;migration-program;pqc-risk-management;pqc-business-case,
EU-NIS-CG-Roadmap-v1.1,EU NIS Cooperation Group — Coordinated Implementation Roadmap for PQC Transition v1.1,https://digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography,2025-01-01,2025-01-01,Published,"EU NIS Cooperation Group coordinated roadmap v1.1 for PQC transition across EU member states. Provides harmonized timelines, priority sectors, and cross-border coordination mechanisms.",Compliance/Policy,Government & Defense; Technology; Finance & Banking; Critical Infrastructure,EU NIS Cooperation Group; European Commission; ENISA,ENISA PQC Guidelines;EU PQC Recommendation;FIPS 203;FIPS 204,European Union,N/A,N/A,EU-wide PQC migration coordination,EU member state governments and essential entities,High,New,General PQC Migration,yes,public/library/EU-NIS-CG-Roadmap-v1.1.html,compliance-strategy;migration-program;pqc-governance,
G7-CEG-Financial-PQC-2026,G7 Cyber Expert Group — Advancing a Coordinated Approach to PQC Transition for the Financial Sector,https://home.treasury.gov/,2026-01-01,2026-01-01,Published,"G7 Cyber Expert Group (chaired by US Treasury and Bank of England) releases cross-border PQC transition framework for global financial sector. Covers interoperability, shared timelines, and cryptographic agility.",Guidance,Finance & Banking; Government & Defense,G7 CEG; US Treasury; Bank of England,BIS-Paper-158;FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Global; G7,N/A,N/A,Global financial sector PQC migration coordination,G7 financial institutions and central banks,High,New,General PQC Migration,no-homepage,,compliance-strategy;migration-program;pqc-governance;pqc-business-case,
PKI-Consortium-PQC-2025,PKI Consortium PQC Conference 2025 — Conclusions and Call to Action,https://pkic.org/2025/11/04/post-quantum-cryptography-conference-2025-concludes-with-urgent-call-for-global-migration-to-quantum-resistant-encryption-systems/,2025-11-04,2025-11-04,Published,"World's largest PQC conference (2500+ delegates, 30+ countries) concluded in Kuala Lumpur. Issued urgent call for global migration. Includes Malaysia national PQC plan announcement.",Guidance,Government & Defense; Technology; Finance & Banking; Telecommunications,PKI Consortium,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,Global,N/A,N/A,Global PQC adoption awareness and coordination,PKI professionals and organizations,High,New,General PQC Migration,yes,public/library/PKI-Consortium-PQC-2025.html,compliance-strategy;migration-program;pqc-governance;crypto-agility,
India-DST-NQM-Roadmap,India DST Task Force Report — Phased Roadmap for Migration to Post-Quantum Cryptography under NQM,https://dst.gov.in/sites/default/files/Report_TaskForce_PQMigration_4Feb26%20(v1).pdf,2026-02-04,2026-02-04,Published,"India DST Task Force under National Quantum Mission publishes phased roadmap for PQC migration. CII foundations by 2027, high-priority systems by 2028, full CII by 2029, nationwide by 2033.",Guidance,Government & Defense; Technology; Critical Infrastructure; Telecommunications; Finance & Banking,DST India; National Quantum Mission; CERT-In,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,India; APAC,N/A,N/A,India national PQC migration across all sectors,Indian government and critical infrastructure operators,High,New,General PQC Migration,yes,public/library/India-DST-NQM-Roadmap.pdf,compliance-strategy;migration-program;pqc-governance;pqc-risk-management;quantum-threats,
India-TEC-910018-2025,India TEC Technical Report TEC 910018:2025 — Migration to Post-Quantum Cryptography,https://www.tec.gov.in/pdf/TR/Final%20technical%20report%20on%20migration%20to%20PQC%2028-03-25.pdf,2025-01-01,2025-01-01,Published,"Telecommunications Engineering Centre (India) technical report on migrating telecom infrastructure to PQC. Covers algorithm selection, protocol migration, and hybrid approaches for Indian telecom operators.",Guidance,Telecommunications; Government & Defense,TEC India; Department of Telecommunications,FIPS 203;FIPS 204;India-DST-NQM-Roadmap;NIST IR 8545;NIST IR 8547,India,N/A,N/A,Indian telecom PQC migration,Indian telecom operators,High,Updated,General PQC Migration,yes,public/library/India-TEC-910018-2025.pdf,compliance-strategy;migration-program;5g-security,
HKMA-Fintech-Blueprint-2026,HKMA Fintech Promotion Blueprint (From Adoption to Advancement) — Quantum Preparedness Index,https://www.hkma.gov.hk/eng/news-and-media/press-releases/2026/02/20260203-3/,2026-02-03,2026-02-03,Published,HKMA Fintech Promotion Blueprint launched February 2026. Includes Quantum Preparedness Index as flagship initiative for Hong Kong banking sector PQC readiness assessment and migration planning.,Guidance,Finance & Banking; Technology,HKMA; Hong Kong Monetary Authority,BIS-Paper-158;FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Hong Kong; APAC,N/A,N/A,Hong Kong financial sector PQC readiness assessment,Hong Kong banks and financial institutions,High,New,General PQC Migration,yes,public/library/HKMA-Fintech-Blueprint-2026.html,compliance-strategy;pqc-risk-management;pqc-business-case;migration-program,
Malaysia-NACSA-PQC-2025,Malaysia National PQC Migration Plan 2025-2030,https://www.nacsa.gov.my/,2025-11-01,2025-11-01,Published,Malaysia Ministry of Digital and NACSA publish first ASEAN national PQC migration plan (2025-2030). Includes proof-of-concept sandbox program for Malaysian government and critical infrastructure.,Compliance/Policy,Government & Defense; Technology; Critical Infrastructure; Telecommunications,NACSA Malaysia; Malaysia Ministry of Digital,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Malaysia; ASEAN,N/A,N/A,Malaysia national PQC migration,Malaysian government agencies and CII operators,High,New,General PQC Migration,no-homepage,,compliance-strategy;migration-program;pqc-governance,
HK-CI-Ordinance-2025,Hong Kong Protection of Critical Infrastructure (Computer System) Ordinance,https://www.info.gov.hk/gia/general/202506/27/P2025062700238.htm,2025-06-27,2025-06-27,Enacted,Hong Kong Legislative Council enacts critical infrastructure cybersecurity legislation requiring operators to protect computer systems including cryptographic controls relevant to PQC migration.,Regulation,Government & Defense; Critical Infrastructure; Finance & Banking; Telecommunications; Energy & Utilities,Hong Kong LegCo; HKMA,NIST IR 8545;NIST IR 8547,Hong Kong,N/A,N/A,Hong Kong critical infrastructure cybersecurity compliance,Hong Kong critical infrastructure operators,High,New,General PQC Migration,yes,public/library/HK-CI-Ordinance-2025.html,compliance-strategy;pqc-governance;pqc-risk-management,
Czech-NUKIB-Crypto-Rec-2023,NUKIB Minimum Requirements for Cryptographic Algorithms — Post-Quantum Readiness,https://nukib.gov.cz/en/information-security/publications-and-standards/,2023-01-01,2024-01-01,Published,Czech cybersecurity agency NUKIB publishes cryptographic algorithm requirements including PQC guidance. Sets 2027 deadline for key establishment migration and recommends hybrid PQC approaches.,Compliance/Policy,Government & Defense; Technology; Finance & Banking,NUKIB Czech Republic,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Czech Republic; European Union,N/A,N/A,Czech government PQC migration requirements,Czech government agencies and regulated entities,High,New,General PQC Migration,no-http-404,,compliance-strategy;migration-program;crypto-agility,ETSI
UAE-DESC-PQC-Guideline,Dubai Electronic Security Center — Post-Quantum Cryptography Guideline,https://www.desc.gov.ae/dubai-electronic-security-center-launches-new-innovative-projects-at-gisec-global-2025/,2025-05-01,2025-05-01,Published,Dubai Electronic Security Center (DESC) launches PQC guideline at GISEC Global 2025 to prepare Dubai digital infrastructure for quantum threats. Migration framework for Dubai government and private sector.,Guidance,Government & Defense; Technology; Finance & Banking; Critical Infrastructure,DESC; Dubai Electronic Security Center,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,UAE; Middle East,N/A,N/A,Dubai government and private sector PQC migration,Dubai entities,High,New,General PQC Migration,yes,public/library/UAE-DESC-PQC-Guideline.html,compliance-strategy;pqc-governance;migration-program,
UAE-CSC-Encryption-Policy,UAE Cybersecurity Council — National Encryption Policy and Executive Regulation,https://www.uaecsc.gov.ae/,2025-11-01,2025-11-01,Published,UAE Cybersecurity Council approves National Encryption Policy requiring government entities to create cryptographic asset inventories and PQC migration plans. First Gulf state with formal PQC requirements.,Regulation,Government & Defense; Technology; Finance & Banking; Critical Infrastructure,UAE Cybersecurity Council,NIST IR 8545;NIST IR 8547;UAE-DESC-PQC-Guideline,UAE; Middle East,N/A,N/A,UAE government-wide PQC migration mandate,UAE government entities,Critical,New,General PQC Migration,no-homepage,,compliance-strategy;pqc-governance;migration-program;pqc-risk-management,
Saudi-NCA-ECC2-2024,Saudi Arabia National Cybersecurity Authority — Essential Cybersecurity Controls ECC-2:2024,https://nca.gov.sa/,2024-01-01,2024-01-01,Published,Saudi Arabia NCA releases updated Essential Cybersecurity Controls 2024 with expanded cryptography domain covering PQC awareness. Applicable to all Saudi government entities and critical infrastructure.,Regulation,Government & Defense; Finance & Banking; Critical Infrastructure; Energy & Utilities,Saudi NCA; National Cybersecurity Authority Saudi Arabia,NIST IR 8545;NIST IR 8547,Saudi Arabia; Middle East,N/A,N/A,Saudi government cybersecurity controls including cryptography,Saudi government and critical sector entities,Medium,New,General PQC Migration,no-homepage,,compliance-strategy;pqc-governance,
Microsoft-QSP-Roadmap-2025,Microsoft Quantum Safe Program (QSP) — Product Roadmap to 2033,https://www.microsoft.com/en-us/security/blog/,2025-01-01,2025-01-01,Published,"Microsoft publishes comprehensive QSP roadmap detailing transition to quantum-safe cryptography across all products through 2033. Covers Windows platform, Azure, signing services, and core infrastructure.",Guidance,Technology; Government & Defense; Finance & Banking,Microsoft,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Global,Lattice-based; Hash-based,N/A,Windows platform; Azure; Microsoft signing services PQC,Windows; Azure; Microsoft enterprise customers,High,New,PQC Vendors and Tools,yes,public/library/Microsoft-QSP-Roadmap-2025.html,migration-program;crypto-agility;tls-basics;pqc-governance,
PQCC-Migration-Roadmap-2025,Post-Quantum Cryptography Coalition (PQCC) PQC Migration Roadmap,https://pqcc.org/post-quantum-cryptography-migration-roadmap/,2025-05-01,2025-05-01,Published,"PQCC publishes PQC Migration Roadmap with four-category framework: Preparation, Prioritization, Migration, and Sustainment. Practical guidance for organizations at any stage of PQC transition.",Guidance,Government & Defense; Technology; Finance & Banking; Healthcare; Critical Infrastructure,PQCC; Post-Quantum Cryptography Coalition,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,Global,N/A,N/A,Cross-sector PQC migration framework,Organizations at all migration stages,High,Updated,General PQC Migration,yes,public/library/PQCC-Migration-Roadmap-2025.html,migration-program;compliance-strategy;crypto-agility;pqc-risk-management;data-asset-sensitivity,
PQCC-Inventory-Workbook-2025,Post-Quantum Cryptography Coalition (PQCC) PQC Inventory Workbook,https://pqcc.org/pqc-inventory-workbook/,2025-06-01,2025-06-01,Published,"PQCC publishes structured workbook to assist organizations in creating centralized cryptographic inventories for PQC migration planning. Covers asset identification, risk prioritization, and migration scheduling.",Guidance,Government & Defense; Technology; Finance & Banking; Healthcare,PQCC; Post-Quantum Cryptography Coalition,NIST IR 8545;NIST IR 8547;PQCC-Migration-Roadmap-2025,Global,N/A,N/A,Cryptographic inventory and asset management,Organizations performing PQC migration planning,High,Updated,General PQC Migration,yes,public/library/PQCC-Inventory-Workbook-2025.html,migration-program;pqc-risk-management;crypto-agility;data-asset-sensitivity,
Singapore-NQSN-Plus,Singapore National Quantum-Safe Network Plus (NQSN+),https://www.imda.gov.sg/about-imda/emerging-technologies-and-research/quantum-safe-technologies,2023-06-01,2023-06-01,Active Programme,"Singapore IMDA, CSA, and GovTech launch National Quantum-Safe Network Plus (NQSN+) to pilot quantum-safe networking solutions. Connects government, financial sector, and critical infrastructure operators.",Guidance,Telecommunications; Government & Defense; Finance & Banking; Critical Infrastructure,IMDA Singapore; CSA Singapore; GovTech Singapore,NIST IR 8545;NIST IR 8547;Singapore-CSA-Quantum-Safe-Handbook,Singapore; ASEAN,N/A,N/A,National quantum-safe network infrastructure,Singapore government and critical infrastructure entities,High,New,General PQC Migration,yes,public/library/Singapore-NQSN-Plus.html,compliance-strategy;migration-program;crypto-agility;5g-security,
ANSSI-PQC-Position-2022,ANSSI Views on Post-Quantum Cryptography Transition,https://cyber.gouv.fr/en/publications/anssi-views-post-quantum-cryptography-transition,2022-01-04,2022-01-04,Published,"ANSSI publishes France's position on PQC transition, advocating hybrid post-quantum/classical schemes as the primary migration path. Provides phased approach guidance for French government and regulated entities.",Guidance,Government & Defense; Technology; Finance & Banking; Critical Infrastructure,ANSSI; French National Cybersecurity Agency,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,France; European Union,Hybrid PQC; Lattice-based,N/A,TLS; X.509; PKI,French government cryptographic systems,High,New,Government Guidance,yes,public/library/ANSSI-PQC-Position-2022.html,compliance-strategy;migration-program;crypto-agility;pqc-governance,
ANSSI-PQC-FAQ-2025,ANSSI Post-Quantum Cryptography FAQ,https://cyber.gouv.fr/cryptographie-post-quantique-faq,2025-10-01,2025-10-01,Published,"ANSSI frequently asked questions on post-quantum cryptography covering algorithm selection, hybrid approaches, migration timelines, and practical guidance for French organizations. Updated October 2025.",Guidance,Government & Defense; Technology; Finance & Banking,ANSSI,ANSSI-PQC-Position-2022;FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,France; European Union,Hybrid PQC; Lattice-based; Hash-based,N/A,TLS; SSH; X.509,French government and private sector,High,New,Government Guidance,yes,public/library/ANSSI-PQC-FAQ-2025.html,compliance-strategy;crypto-agility;migration-program;pqc-101,
EC-Recommendation-2024-1101,European Commission Recommendation on Post-Quantum Cryptography (2024/1101),https://digital-strategy.ec.europa.eu/en/library/recommendation-post-quantum-cryptography,2024-11-26,2024-11-26,Published,European Commission formal Recommendation calling on EU member states to implement PQC migration roadmaps and coordinated timelines by 2030. Sets interoperability and procurement requirements for EU digital infrastructure.,Compliance/Policy,Government & Defense; Technology; Finance & Banking; Critical Infrastructure; Telecommunications,European Commission,FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,European Union,Hybrid PQC,N/A,TLS; X.509,EU member state government systems,High,New,Government Guidance,yes,public/library/EC-Recommendation-2024-1101.html,compliance-strategy;pqc-governance;migration-program,
G7-Financial-PQC-Roadmap-2026,G7 Cyber Expert Group Financial Sector PQC Roadmap,https://home.treasury.gov/news/press-releases/sb0355,2026-01-17,2026-01-17,Published,"G7 Cyber Expert Group publishes roadmap for financial sector PQC migration covering inventory, risk prioritization, algorithm selection (ML-KEM, ML-DSA), testing, and transition milestones for G7 financial institutions.",Guidance,Finance & Banking; Government & Defense,G7 Cyber Expert Group; US Treasury; G7 Finance Ministers,BIS-Paper-158;FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,Global; G7,Lattice-based; Hash-based,"L1,L3,L5",TLS; X.509; HSM,G7 financial institution cryptographic systems,High,New,Government Guidance,yes,public/library/G7-Financial-PQC-Roadmap-2026.html,compliance-strategy;migration-program;pqc-risk-management;pqc-business-case,
CA-CFDIR-Quantum-Readiness-2023,Canada CFDIR Quantum-Readiness Best Practices and Guidelines,https://ised-isde.canada.ca/site/spectrum-management-telecommunications/sites/default/files/attachments/2023/cfdir-quantum-readiness-best-practices-v03.pdf,2023-06-01,2023-06-01,Published,"Canadian Forum for Digital Infrastructure Resilience (CFDIR) publishes quantum-readiness best practices for Canadian organizations covering PQC algorithm selection, hybrid approaches, and migration planning.",Guidance,Government & Defense; Critical Infrastructure; Telecommunications; Technology,CFDIR; Innovation Science and Economic Development Canada,CA-TBS-SPIN-PQC-2025;NIST IR 8545;NIST IR 8547,Canada,Hybrid PQC; Lattice-based,N/A,TLS; X.509; SSH,Canadian government and critical infrastructure systems,High,New,Government Guidance,yes,public/library/CA-CFDIR-Quantum-Readiness-2023.pdf,compliance-strategy;migration-program;crypto-agility;pqc-governance,
SG-Quantum-Safe-Handbook-2025,Singapore Quantum-Safe Handbook (Draft for Public Consultation),https://isomer-user-content.by.gov.sg/36/11227d39-4350-4ded-9046-d62f99f561ab/Draft%20for%20Public%20Consultation%20-%20Quantum-Safe%20Handbook%20(Oct%202025).pdf,2025-10-23,2025-10-23,Draft/Consultation,"Singapore CSA, GovTech, and IMDA jointly release draft Quantum-Safe Handbook for public consultation. Provides four-pillar PQC migration framework (cryptographic asset discovery, risk prioritisation, phased migration, post-migration monitoring) for CII owners.",Guidance,Government & Defense; Critical Infrastructure; Finance & Banking; Telecommunications; Technology,CSA Singapore; GovTech Singapore; IMDA Singapore,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547;Singapore-NQSN-Plus,Singapore; ASEAN,Hybrid PQC; Lattice-based,N/A,TLS; X.509; PKI,Singapore CII operators and government systems,High,New,Government Guidance,yes,public/library/SG-Quantum-Safe-Handbook-2025.pdf,compliance-strategy;migration-program;pqc-governance;crypto-agility,
CZ-NUKIB-Crypto-Requirements-2023,NUKIB Minimum Requirements for Cryptographic Algorithms,https://nukib.gov.cz/download/publications_en/Minimum%20Requirements%20for%20Cryptographic%20Algorithms.pdf,2023-06-01,2024-06-01,Published,Czech NUKIB publishes minimum requirements for cryptographic algorithms including PQC readiness guidance. Sets 2027 deadline for key establishment migration and recommends hybrid PQC approaches for Czech government systems.,Compliance/Policy,Government & Defense; Technology; Finance & Banking; Critical Infrastructure,NUKIB; Czech National Cyber and Information Security Agency,FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Czech Republic; European Union,Hybrid PQC; Lattice-based,N/A,TLS; X.509; PKI,Czech government and regulated entity cryptographic systems,High,New,Government Guidance,yes,public/library/CZ-NUKIB-Crypto-Requirements-2023.pdf,compliance-strategy;migration-program;crypto-agility,ETSI
EU-BSI-PQC-Joint-Statement-2024,Joint Statement on PQC Migration by 21 EU Member State Cybersecurity Agencies,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Crypto/PQC-joint-statement.pdf,2024-11-01,2024-11-01,Published,"Joint statement by 21 European nation cybersecurity agencies (including BSI, ANSSI, NCSC-NL) urging coordinated EU PQC migration. Endorses NIST-standardized algorithms and sets common migration principles for European organizations.",Guidance,Government & Defense; Technology; Finance & Banking; Critical Infrastructure,BSI; ANSSI; NCSC Netherlands; 21 EU cybersecurity agencies,EC-Recommendation-2024-1101;FIPS 203;FIPS 204;FIPS 205;NIST IR 8545;NIST IR 8547,European Union,Hybrid PQC; Lattice-based; Hash-based,N/A,TLS; X.509; PKI; IPsec,European government and critical infrastructure systems,High,New,Government Guidance,yes,public/library/EU-BSI-PQC-Joint-Statement-2024.pdf,compliance-strategy;pqc-governance;migration-program;crypto-agility,
BSI-ANSSI-QKD-Position-2024,BSI/ANSSI/NLNCSA/SNCSA Joint Position Paper on QKD and Quantum Cryptography,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Crypto/Quantum_Positionspapier.pdf?__blob=publicationFile&v=4,2024-04-01,2024-04-01,Published,"Joint position paper from BSI, ANSSI, NLNCSA, and SNCSA on quantum key distribution (QKD). Concludes QKD alone is insufficient for government communications and recommends PQC as primary quantum-safe approach, with QKD as complementary where justified.",Research/Report,Government & Defense; Telecommunications; Critical Infrastructure,BSI; ANSSI; NLNCSA Netherlands; SNCSA Sweden,ANSSI-PQC-Position-2022;FIPS 203;FIPS 204;NIST IR 8545;NIST IR 8547,Germany; France; Netherlands; Sweden; European Union,QKD; Hybrid PQC; Lattice-based,N/A,Quantum Key Distribution; TLS,Government high-security communications,Medium,New,Government Guidance,yes,public/library/BSI-ANSSI-QKD-Position-2024.pdf,qkd;crypto-agility;pqc-governance;quantum-threats,
