id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas,industries
thrt-004,industry-threats,true-false,intermediate,both,True or False: Bitcoin is vulnerable to quantum attacks because it uses ECDSA (secp256k1) for transaction signing.,True,False,,,true,"True. Bitcoin uses ECDSA with the secp256k1 curve for transaction signing. Shor's Algorithm can break ECDSA, potentially allowing quantum attackers to forge transactions. Approximately $718 billion in quantum-vulnerable P2PK addresses exist, including ~1.1 million BTC attributed to Satoshi Nakamoto.",/threats,researcher|executive,
thrt-005,industry-threats,multiple-choice,advanced,full,What unique quantum threat does blockchain immutability create?,Blockchains can be deleted by quantum computers,On-chain encrypted data is permanently exposed — it cannot be re-encrypted after the fact,Quantum computers can reverse blockchain consensus,Mining becomes impossible with quantum hardware,b,"Blockchain immutability means encrypted data stored on-chain remains permanently accessible. Unlike centralized systems where archived data can be re-encrypted, blockchain data cannot be modified. Any HNDL-harvested on-chain encrypted data remains vulnerable indefinitely.",/threats,researcher|executive,
thrt-006,industry-threats,multiple-choice,intermediate,both,Which critical infrastructure sector faces unique challenges due to 20-30 year equipment lifecycles and IEC 62443 standards?,Retail,Energy and utilities (SCADA systems),Media and entertainment,Education,b,"Energy and utility systems (power grids, SCADA, nuclear facilities) have equipment lifecycles of 20-30 years governed by IEC 62443 standards. Nuclear plants are licensed for 60+ years (with 80-year extensions). These extremely long lifecycles make PQC migration particularly complex.",/threats,researcher|executive,
thrt-007,industry-threats,multiple-choice,advanced,full,Why did the Ethereum Foundation establish a dedicated PQC team with $2M in research prizes in January 2026?,To develop a quantum computer,"To research quantum-safe upgrades for Ethereum, as its secp256k1/BLS12-381 cryptography is vulnerable",To create a competing PQC standard,To build quantum mining hardware,b,"Ethereum uses secp256k1 ECDSA and BLS12-381 cryptography, both vulnerable to quantum attacks. The Foundation established a dedicated PQC team to research quantum-safe account abstraction, signature scheme upgrades, and consensus mechanism protections.",/threats,researcher|executive,
thrt-008,industry-threats,multi-select,intermediate,both,Which automotive systems are vulnerable to quantum attacks? (Select all that apply),V2X (vehicle-to-everything) PKI communications,OTA (over-the-air) firmware update code signing,Windshield wiper controls,In-vehicle network ECU authentication,a|b|d,"V2X communications use ECDSA P-256 certificates (IEEE 1609.2), OTA firmware updates use RSA/ECDSA code signing, and ECU authentication uses cryptographic protocols — all quantum-vulnerable. Windshield wipers do not involve cryptographic operations.",/threats,researcher|executive,
cryp-001,crypto-operations,multiple-choice,beginner,both,What is a Key Encapsulation Mechanism (KEM)?,A method for digitally signing documents,A mechanism for securely establishing a shared secret key between two parties,A technique for compressing encryption keys,A hardware device for storing private keys,b,"A KEM securely establishes a shared secret key between two parties. Unlike Diffie-Hellman key exchange, a KEM works by having one party generate a shared secret and encapsulate it using the other party's public key. The recipient then decapsulates to recover the shared secret.",/algorithms,researcher|developer,
cryp-002,crypto-operations,multiple-choice,intermediate,both,What is the approximate public key size of ML-KEM-768 compared to X25519?,About the same (~32 bytes each),ML-KEM-768 is ~37x larger (~1184 bytes vs ~32 bytes),ML-KEM-768 is ~1000x larger (~32KB vs ~32 bytes),X25519 is actually larger than ML-KEM-768,b,"ML-KEM-768 public keys are approximately 1184 bytes, compared to 32 bytes for X25519. While significantly larger, this is still manageable for most applications. The trade-off is worthwhile for quantum resistance, and ML-KEM-768 is still very fast (~80x faster keygen than RSA-2048).",/algorithms,researcher|developer,
cryp-003,crypto-operations,multiple-choice,intermediate,both,What are the three core operations of a KEM?,"Encrypt, Decrypt, Verify","KeyGen, Encapsulate, Decapsulate","Sign, Verify, Exchange","Generate, Distribute, Revoke",b,"The three operations of a KEM are: KeyGen (generate a public/private key pair), Encapsulate (use the public key to produce a ciphertext and shared secret), and Decapsulate (use the private key to recover the shared secret from the ciphertext).",/playground,researcher|developer,
cryp-004,crypto-operations,true-false,beginner,both,True or False: ML-KEM key generation is approximately 80x faster than RSA-2048 key generation.,True,False,,,true,"True. ML-KEM key generation is dramatically faster than RSA-2048 because it uses simple linear algebra operations over polynomial rings, rather than RSA's computationally expensive prime number generation.",/playground,researcher|developer,
cryp-005,crypto-operations,multiple-choice,intermediate,both,How does ML-DSA signature size compare to RSA-2048 signature size?,ML-DSA-65 signatures are smaller than RSA-2048 signatures,They are approximately the same size (~256 bytes),ML-DSA-65 signatures are larger (~3.3KB vs ~256 bytes for RSA-2048),RSA-2048 does not produce signatures,c,"ML-DSA-65 produces signatures of approximately 3,309 bytes compared to RSA-2048's ~256 bytes. This larger size is a key trade-off for quantum resistance and impacts applications with bandwidth constraints, such as TLS handshakes and certificate chains.",/algorithms,researcher|developer,
cryp-006,crypto-operations,multiple-choice,advanced,full,Why does FN-DSA require careful implementation to resist side-channel attacks?,It uses extremely large key sizes,Its signing algorithm relies on floating-point arithmetic that can leak timing information,It requires internet connectivity during signing,It stores private keys in plaintext,b,"FN-DSA (formerly Falcon) uses fast Fourier transforms over NTRU lattices, which require floating-point arithmetic. Variations in floating-point computation timing can leak information about the private key through side-channel attacks, requiring constant-time implementation techniques.",/algorithms,researcher|developer,
cryp-007,crypto-operations,multiple-choice,intermediate,both,"For multi-select questions about correctness: in ML-KEM, what does the encapsulation operation produce?",A digital signature and verification key,A ciphertext and a shared secret,An encrypted message and decryption key,A hash digest and salt,b,ML-KEM encapsulation takes a public key and produces two outputs: a ciphertext (sent to the recipient) and a shared secret (kept by the sender). The recipient uses their private key to decapsulate the ciphertext and recover the same shared secret.,/playground,researcher|developer,
cryp-008,crypto-operations,multi-select,advanced,full,Which of the following are valid hybrid key exchange combinations deployed or specified in standards? (Select all that apply),X25519MLKEM768,SecP256r1MLKEM768,SecP384r1MLKEM1024,RSA2048MLKEM512,a|b|c,"X25519MLKEM768, SecP256r1MLKEM768, and SecP384r1MLKEM1024 are all standardized or deployed hybrid key exchange combinations. RSA-based hybrid KEMs are not standard — hybrid approaches pair ECDH variants with ML-KEM variants.",/algorithms,researcher|developer,
cryp-009,crypto-operations,multiple-choice,beginner,both,What is the fundamental difference between a KEM and a digital signature algorithm?,KEMs are faster; signatures are slower,KEMs establish shared secrets for encryption; signatures prove authenticity and integrity,KEMs are quantum-safe; signatures are not,There is no difference — they are interchangeable,b,KEMs (like ML-KEM) establish a shared secret key between parties for subsequent encryption. Digital signature algorithms (like ML-DSA) prove that a message was created by a known sender (authenticity) and was not altered (integrity). They serve different cryptographic purposes.,/algorithms,researcher|developer,
cryp-010,crypto-operations,multiple-choice,advanced,full,Which SLH-DSA variant family does NIST prefer for long-term quantum resilience?,SHA2 variants (SLH-DSA-SHA2-*),SHAKE variants (SLH-DSA-SHAKE-*),Both are equally preferred,Neither — SLH-DSA is not recommended for long-term use,b,"NIST prefers SHAKE variants (SLH-DSA-SHAKE-*) over SHA2 variants for long-term quantum resilience. SHAKE (from the SHA-3/Keccak family) provides a different mathematical foundation from SHA-2, offering additional algorithm diversity for defense-in-depth.",/algorithms,researcher|developer,
fund-011,pqc-fundamentals,multiple-choice,beginner,both,"According to the Global Risk Institute survey, what is the estimated probability of a CRQC appearing within 10 years?",Less than 1%,5-14%,19-34%,Over 50%,c,The Global Risk Institute survey estimates a 19-34% probability of a CRQC within 10 years and 5-14% within 5 years. This uncertainty drives the urgency of starting PQC migration now rather than waiting for certainty.,/threats,researcher|executive|developer|ops,
fund-012,pqc-fundamentals,multiple-choice,intermediate,both,What is the average organizational quantum-safe readiness score according to cross-industry assessments?,25 out of 100,50 out of 100,75 out of 100,90 out of 100,a,"The average organizational quantum-safe readiness score is only 25 out of 100. Additionally, 70% of organizations lack a complete cryptographic inventory, highlighting the urgent need for CBOM development and PQC migration planning.",/assess,researcher|executive|developer|ops,
